u,v,key,cycleway,cycleway:both,cycleway:left,cycleway:right,cycleway_all
61172025,61173817,0,,no,,,[]
61172025,71916241,0,,,,,[]
61172030,939265774,0,,,,,[]
61172030,61174835,0,,,,,[]
61172030,71950209,0,,,,,[]
61172035,61172339,0,,no,,,[]
61172035,1079966646,0,,,,,[]
61172035,61178192,0,,no,,,[]
61172044,7025631366,0,,no,,,[]
61172044,71925824,0,,,,,[]
61172067,61172077,0,,no,,,[]
61172067,61172118,0,,no,,,[]
61172067,71918050,0,,,,,[]
61172068,6758773866,0,,no,,,[]
61172068,11192254934,0,,no,,,[]
61172071,61173892,0,,,,,[]
61172077,61172067,0,,no,,,[]
61172077,61172416,0,,no,,,[]
61172077,71950873,0,,,,,[]
61172102,61171919,0,,,,,[]
61172102,7899959308,0,crossing,,,,[]
61172102,71932049,0,crossing,,,,[]
61172108,12177779060,0,,,,,[]
61172108,11092710188,0,,,lane,no,[]
61172108,71946575,0,,,lane,no,[]
61172118,7941845813,0,,,,,[]
61172118,61175241,0,shared_lane,"['lane', 'no']",,,"['lane', 'no']"
61172118,61172067,0,,no,,,[]
61172122,1764746260,0,,no,,,[]
61172122,1764746279,0,,,,,[]
61172132,71945601,0,,,,,[]
61172132,61176460,0,,no,,,[]
61172137,61180008,0,,no,,,[]
61172137,61180240,0,,no,,,[]
61172137,71933538,0,,,,,[]
61172144,11882545933,0,,no,,,[]
61172144,837180306,0,,separate,,,[]
61172144,61180371,0,,separate,,,[]
61172148,10188043303,0,,,,,[]
61172148,3593702533,0,,,,,[]
61172160,11682994929,0,,,,,[]
61172164,11192254934,0,,no,,,[]
61172164,1047189364,0,,no,,,[]
61172164,71947912,0,,,,,[]
61172173,61172458,0,,no,,,[]
61172173,71945932,0,,no,,,[]
61172173,11192368838,0,,,,,[]
61172197,7025623049,0,,,lane,track,[]
61172197,11741855832,0,track,,lane,track,[]
61172212,61180725,0,,no,,,[]
61172212,470512956,0,,no,,,[]
61172215,71953410,0,,,,,[]
61172215,61172424,0,,,no,track,[]
61172216,11779186474,0,,,,track,[]
61172216,61179450,0,,no,,,[]
61172216,61172215,0,,,no,track,[]
61172224,61172421,0,,,no,shared_lane,[]
61172224,71933526,0,,,,,[]
61172228,10186491025,0,,,shared_lane,lane,[]
61172228,11722011013,0,,shared_lane,,,[]
61172228,11047669649,0,,,shared_lane,lane,[]
61172228,5458226298,0,shared_lane,shared_lane,separate,lane,[]
61172248,71917709,0,,,,,[]
